Middag,Type,Opphav,iso
Aloo Gobi,Vegetar,India,in
Asiatisk salat,Salat,Vietnam,vn
Bacalao,Fisk,Portugal,pt
Blåbærruter med vaniljekrem og sprø topping,Dessert,Norge,no
Blomkål og bacon,Kjøtt,Norge,no
Brosme,Fisk,Norge,no
Byriani,Kjøtt,India,in
Chicken breast recipe in China,Kjøtt,Kina,ch
Chili con carne,Kjøtt,Mexico,mx
Chilli con bønner,Vegetar,Mexico,mx
Crispy duck,Kjøtt,Kina,cn
Dal ,Vegetar,India,in
Enchilladas,Kjøtt,Mexico,mx
Finnbiff,Kjøtt,Norge,no
Fish n Chips,Fisk,England,gb
Fiskeburger,Fisk,Norge,no
Fiskekaker,Fisk,Norge,no
Fransk løksuppe,Vegetar,Frankrike,fr
French hotdog og potetbåter,Kjøtt,Frankrike,fr
Green curry,Kjøtt,Thailand,th
Grillet fisk,Fisk,Norge,no
Grøt,Vegetar,Norge,no
Gyros,Kjøtt,Hellas,gr
Hamburger,Kjøtt,USA,us
Hvalfinnbittgryte med potetmos,Kjøtt,Norge,no
Korma,Kjøtt,India,in
Kra pa gao,Kjøtt,Thailand,th
Kremet pastinakk- og sellerisuppe m/hvitløksbagett,Suppe,Norge,no
Kylling tikka ish,Kjøtt,India,in
Lasagne,Kjøtt,Italia,it
Lasagne vegetar,Vegetar,Italia,it
Linsesuppe,Vegetar,India,in
Moussaka,Kjøtt,Italia,it
Okracurry,Vegetar,India,in
Ørret,Fisk,Norge,no
Ovnsbaktfisk,Fisk,Norge,no
Paella,Fisk,Spania,es
Pasta Carbonara,Kjøtt,Italia,it
Pizza,Kjøtt,Italia,it
Poke bowl,Salat,Hawaii,us
Quesedillas,Kjøtt,Mexico,mx
Ramen,Suppe,Japan,jp
Red curry med torsk,Fisk,Thailand,th
Risotto,Vegetar,Italia,it
Saag paneer,Vegetar,India,in
Salat med hummus og byggryn + maiskolbe,Salat,Midtøsten,eg
Seibiff,Fisk,Norge,no
Søtpotettaco,Vegetar,Mexico,mx
Spansk cowboygryte,Vegetar,Spania,es
Spinatpai,Vegetar,Norge,no
Sri Lanka Curry,Vegetar,Sri Lanka,lk
Stekt fisk,Fisk,Norge,no
Taco,Kjøtt,Mexico,mx
Taco,Vegetar,Mexico,mx
"Terte med beter, rødløk og pære",Pai,Norge,no
Tomatsuppe og pannekake,Vegetar,Norge,no
Torsk og potet,Fisk,Norge,no
Vegetarburger,Vegetar,USA,us
Vestafrikansk peanuttsuppe,Vegetar,Ghana,gh
Wok med kylling og nudler,Kjøtt,Kina,cn
